Entry	Gene Names (primary)	Gene Names (ordered locus)
P73411	zwf	slr1843
P73085	zntC	
Q55940	ziaR	sll0792
Q59998	ziaA	slr0798
P73273	ziaA	
Q46363	zam	sll1910
P73037	ytfC	
P0CJ64	yoeB	ssr2754.1
P74016	ymxG	
P74155	yidC	slr1471
P58235	yefM	ssr2754
P72908	yefA	
P73886	ychF	sll0245
P73069	ycf48	slr2034
P74508	ycf47	
Q55174	ycf46	
P72964	ycf45	
P72573	ycf40	
P72705	ycf4	sll0226
P74029	ycf39	
P74429	ycf39	
Q55618	ycf38	
Q55551	ycf37	
Q55866	ycf36	
Q55981	ycf35	
P74777	ycf34	
P74788	ycf33	
P74063	ycf3	slr0823
P73066	ycf23	
P73029	ycf22	
Q55628	ycf22	
P73322	ycf21	
P72826	ycf19	
Q55438	ycf12	sll0047
Q55142	ybeY	slr0053
Q55536	xylR	
P74492	xthA	
P72680	xerC	slr0733
P74653	vte5	slr1652
Q6ZEJ5	vapC	sll7003
Q6ZEN6	vapC	sll5094
P72993	vapC	
Q55189	vapC	
P72994	vapB	
Q55522	valS	slr0557
P73465	uvrD	
P73580	uvrC	sll0865
Q55170	uvrB	sll0459
P73412	uvrA	slr1844
P72955	ureG	sll0643
P73327	ureF	slr1899
P73462	ureE	
P73047	ureD	sll1639
P73061	ureC	sll1750
P74386	ureB	sll0420
P73796	ureA	slr1256
Q55482	uppS	sll0506
Q55684	uppP	sll0210
P72753	upp	sll1035
Q55931	umuC	
P72743	ubiX	slr1099
P73141	tyrS	slr1031
P73144	tyrS	
P73906	tyrA	
P73920	txlA	sll1980
P74227	tuf	sll1099
P74070	tsf	sll1261
P74415	tsaE	sll0257
P74034	tsaD	slr0807
P52231	trxA	slr0623
P72643	trx	
P74696	truB	slr0457
P73295	truA	sll1820
P73655	trpS	slr1884
Q55144	trpG	
P74435	trpF	sll0356
P74130	trpE2	slr1979
P20170	trpE	slr0738
P73617	trpD	slr1867
Q55508	trpC	slr0546
Q59992	trpB	slr0543
P77960	trpA	slr0966
Q55896	trmJ	slr0120
Q55692	trmFO	sll0204
P72828	trmD	sll1198
P73161	trmB	sll1300
Q55613	trhO	sll0765
Q59994	tpiA	slr0783
P73810	topA	slr2058
P73490	todF	
Q55593	tmk	slr0379
P73282	tktA	
P74192	tilS	slr1278
Q55511	tig	sll0533
P73053	thyX	sll1635
Q55806	thrS	sll0078
P74193	thrC	sll1172
P73711	thrC	
P73646	thrB	sll1760
Q55710	thiO/thiG	slr0633
P72787	thiL	slr1787
P72965	thiE	sll0635
Q55894	thiC	slr0118
P73956	thf1	sll1414
Q55983	tgt	slr0713
P54086	tatC	sll0194
P73435	tatA	ssl2823
P73010	tatA	slr1046
Q55444	tar	
P72797	tal	slr1793
P73717	tadA	sll1631
P74709	surE	sll1108
P74158	suhB	sll1383
P73806	suhB	
P74286	sucD	
P72927	sucC	
Q55034	stpA	slr0746
Q6ZE45		ssr8047
Q6ZE79		ssr8013
Q6ZEB4		ssr7084
Q6ZEB9		ssr7079
Q6ZEF8		ssr7040
Q6ZEG2		ssr7036
Q6ZEG3		ssr7035
Q6ZEI0		ssr7018
Q6YRQ5		ssr6099
Q6YRR5		ssr6089
Q6YRU2		ssr6062
Q6YRV6		ssr6048
Q6YRV8		ssr6046
Q6YRX2		ssr6032
Q6YRX4		ssr6030
Q6YRR8		ssr6027 ssr6086
Q6YRR9		ssr6026 ssr6085
Q6YRS1		ssr6024 ssr6083
